col,row,x_mm,y_mm,type,enrichment_wt%
1,0,-88.361,-100.984,Er,
2,0,-75.738,-100.984,plain_4.4,4.4
3,0,-63.115,-100.984,plain_4.4,4.4
4,0,-50.492,-100.984,plain_4.4,4.4
5,0,-37.869,-100.984,plain_4.4,4.4
6,0,-25.246,-100.984,plain_4.4,4.4
7,0,-12.623,-100.984,plain_4.4,4.4
8,0,0.0,-100.984,plain_4.4,4.4
9,0,12.623,-100.984,plain_4.4,4.4
10,0,25.246,-100.984,plain_4.4,4.4
11,0,37.869,-100.984,plain_4.4,4.4
12,0,50.492,-100.984,plain_4.4,4.4
13,0,63.115,-100.984,plain_4.4,4.4
14,0,75.738,-100.984,plain_4.4,4.4
15,0,88.361,-100.984,Er,
16,0,100.984,-100.984,Er,
